"BL","RGB","Kreis","Gkz","Wirtschaftsraum","Ort","Einwohner","Plz","Block neu"
"SWH",10,1053,1053129,"Hamburg","Wentorf bei Hamburg",11096,"21465","B"
"SWH",10,1062,1062060,"Hamburg","Reinbek, Stadt",24960,"21465","B"
"SWH",10,1053,1053083,"Hamburg","Lauenburg/ Elbe, Stadt",11807,"21481","B"
"SWH",10,1053,1053116,"Hamburg","Schwarzenbek, Stadt",14730,"21493","B"
"SWH",10,1053,1053032,"Hamburg","Geesthacht, Stadt",29391,"21502","B"
"SWH",10,1062,1062018,"Hamburg","Glinde, Stadt",16124,"21509","B"
"SWH",10,1053,1053020,"Hamburg","Büchen",5473,"21514","B"
"SWH",10,1062,1062053,"Hamburg","Oststeinbek",7899,"22113","B"
"SWH",10,1062,1062053,"Hamburg","Oststeinbek",7899,"22113","B"
"SWH",10,1060,1060063,"Hamburg","Norderstedt, Stadt",71990,"22846","B"
"SWH",10,1056,1056044,"Hamburg","Schenefeld, Stadt",17871,"22869","B"
"SWH",10,1056,1056050,"Hamburg","Wedel, Stadt",32354,"22880","B"
"SWH",10,1062,1062009,"Hamburg","Barsbüttel",12170,"22885","B"
"SWH",10,1062,1062076,"Hamburg","Tangstedt",6119,"22889","B"
"SWH",10,1062,1062001,"Hamburg","Ahrensburg, Stadt",30068,"22926","B"
"SWH",10,1062,1062023,"Hamburg","Großhansdorf",8987,"22927","B"
"SWH",10,1062,1062006,"Hamburg","Bargteheide, Stadt",13820,"22941","B"
"SWH",10,1062,1062020,"Hamburg","Grande",672,"22946","B"
"SWH",10,1062,1062082,"Hamburg","Trittau",7562,"22946","B"
"SWH",10,1062,1062090,"Hamburg","Ammersbek",9141,"22949","B"
"SWH",10,1062,1062045,"Hamburg","Lütjensee",3129,"22952","B"
"SWH",10,1062,1062086,"Hamburg","Witzhave",1359,"22969","B"
"SWH",10,1003,1003000,"Hamburg","Lübeck, Hansestadt",213301,"23539","A"
"SWH",10,1055,1055004,,"Bad Schwartau, Stadt",20095,"23611","B"
"SWH",10,1055,1055040,,"Stockelsdorf",16286,"23617","B"
"SWH",10,1055,1055001,,"Ahrensbök",8505,"23623","B"
"SWH",10,1055,1055035,,"Ratekau",15629,"23626","B"
"SWH",10,1055,1055042,,"Timmendorfer Strand",9019,"23669","B"
"SWH",10,1055,1055044,,"Scharbeutz",11772,"23683","B"
"SWH",10,1055,1055012,,"Eutin, Stadt",17041,"23701","B"
"SWH",10,1055,1055028,,"Malente",10707,"23714","B"
"SWH",10,1055,1055032,,"Neustadt in Holstein, Stadt",16201,"23730","B"
"SWH",10,1055,1055039,,"Sierksdorf",1489,"23730","B"
"SWH",10,1055,1055027,,"Lensahn",5095,"23738","B"
"SWH",10,1055,1055016,,"Grömitz",7699,"23743","B"
"SWH",10,1055,1055018,,"Grube",979,"23749","B"
"SWH",10,1055,1055033,,"Oldenburg in Holstein, Stadt",9938,"23758","B"
"SWH",10,1055,1055046,,"Fehmarn, Stadt",12656,"23769","B"
"SWH",10,1055,1055021,,"Heiligenhafen, Stadt",9266,"23774","B"
"SWH",10,1055,1055017,,"Großenbrode",2194,"23775","B"
"SWH",10,1055,1055031,,"Neukirchen",1150,"23779","B"
"SWH",10,1060,1060005,"Hamburg","Bad Segeberg, Stadt",16101,"23795","B"
"SWH",10,1060,1060020,"Hamburg","Fahrenkrug",1677,"23795","B"
"SWH",10,1060,1060092,"Hamburg","Wahlstedt, Stadt",9467,"23812","B"
"SWH",10,1060,1060098,"Hamburg","Westerrade",486,"23815","B"
"SWH",10,1060,1060053,"Hamburg","Leezen",1621,"23816","B"
"SWH",10,1060,1060075,"Hamburg","Seedorf",2188,"23823","B"
"SWH",10,1062,1062004,"Hamburg","Bad Oldesloe, Stadt",23744,"23843","B"
"SWH",10,1062,1062065,"Hamburg","Rümpel",1301,"23843","B"
"SWH",10,1062,1062061,"Hamburg","Reinfeld (Holstein), Stadt",8328,"23858","B"
"SWH",10,1062,1062005,"Hamburg","Bargfeld-Stegen",2695,"23863","B"
"SWH",10,1060,1060058,"Hamburg","Nahe",2370,"23866","B"
"SWH",10,1053,1053090,"Hamburg","Mölln, Stadt",18386,"23879","B"
"SWH",10,1053,1053046,"Hamburg","Gudow",1608,"23899","B"
"SWH",10,1053,1053100,"Hamburg","Ratzeburg, Stadt",13493,"23909","B"
"SWH",10,1053,1053051,"Hamburg","Harmsdorf",211,"23911","B"
"SWH",10,1002,1002000,,"Kiel, Landeshauptstadt",233270,"24103","A"
"SWH",10,1058,1058107,,"Molfsee",5007,"24113","B"
"SWH",10,1058,1058092,,"Kronshagen",11977,"24119","B"
"SWH",10,1057,1057036,,"Klausdorf",6116,"24147","B"
"SWH",10,1058,1058005,,"Altenholz",9866,"24161","B"
"SWH",10,1057,1057062,,"Preetz, Stadt",15540,"24211","B"
"SWH",10,1058,1058058,,"Gettorf",6287,"24214","B"
"SWH",10,1057,1057028,,"Höhndorf",355,"24217","B"
"SWH",10,1057,1057073,,"Schönberg (Holstein)",6479,"24217","B"
"SWH",10,1058,1058053,,"Flintbek",7381,"24220","B"
"SWH",10,1057,1057064,,"Raisdorf",7541,"24223","B"
"SWH",10,1058,1058037,,"Dänischenhagen",3448,"24229","B"
"SWH",10,1058,1058150,,"Schwedeneck",3069,"24229","B"
"SWH",10,1058,1058157,,"Strande",1526,"24229","B"
"SWH",10,1057,1057074,,"Schönkirchen",6401,"24232","B"
"SWH",10,1057,1057043,,"Laboe",5255,"24235","B"
"SWH",10,1057,1057087,,"Wendtorf",1155,"24235","B"
"SWH",10,1057,1057077,,"Selent",1285,"24238","B"
"SWH",10,1057,1057051,,"Mönkeberg",3349,"24248","B"
"SWH",10,1058,1058139,,"Rumohr",736,"24254","B"
"SWH",10,1057,1057009,,"Bösdorf",1625,"24306","B"
"SWH",10,1057,1057057,,"Plön, Stadt",13004,"24306","B"
"SWH",10,1057,1057048,,"Lütjenburg, Stadt",5712,"24321","B"
"SWH",10,1057,1057001,,"Ascheberg (Holstein)",3116,"24326","B"
"SWH",10,1057,1057007,,"Blekendorf",1823,"24327","B"
"SWH",10,1058,1058043,,"Eckernförde, Stadt",23250,"24340","B"
"SWH",10,1058,1058137,,"Rieseby",2547,"24354","B"
"SWH",10,1058,1058052,,"Fleckeby",1715,"24357","B"
"SWH",10,1058,1058012,,"Barkelsby",1574,"24360","B"
"SWH",10,1058,1058066,,"Groß Wittensee",1025,"24361","B"
"SWH",10,1059,1059045,,"Kappeln, Stadt",9940,"24376","B"
"SWH",10,1059,1059083,,"Süderbrarup",3823,"24392","B"
"SWH",10,1004,1004000,,"Neumünster, Stadt",79544,"24534","B"
"SWH",10,1060,1060039,"Hamburg","Henstedt-Ulzburg",25520,"24558","B"
"SWH",10,1060,1060044,"Hamburg","Kaltenkirchen, Stadt",18626,"24568","B"
"SWH",10,1060,1060004,"Hamburg","Bad Bramstedt, Stadt",12981,"24576","B"
"SWH",10,1058,1058022,,"Bordesholm",7585,"24582","B"
"SWH",10,1058,1058117,,"Nortorf, Stadt",6450,"24589","B"
"SWH",10,1058,1058077,,"Hohenwestedt",4897,"24594","B"
"SWH",10,1060,1060011,"Hamburg","Boostedt",4483,"24598","B"
"SWH",10,1057,1057085,,"Wankendorf",2898,"24601","B"
"SWH",10,1060,1060089,"Hamburg","Trappenkamp",5265,"24610","B"
"SWH",10,1058,1058009,,"Aukrug",3822,"24613","B"
"SWH",10,1061,1061019,,"Brokstedt",2127,"24616","B"
"SWH",10,1058,1058094,,"Langwedel",1314,"24631","B"
"SWH",10,1060,1060072,"Hamburg","Schmalensee",503,"24638","B"
"SWH",10,1058,1058135,,"Rendsburg, Stadt",29101,"24768","B"
"SWH",10,1058,1058034,,"Büdelsdorf, Stadt",10166,"24782","B"
"SWH",10,1058,1058172,,"Westerrönfeld",5183,"24784","B"
"SWH",10,1058,1058054,,"Fockbek",6284,"24787","B"
"SWH",10,1058,1058140,,"Schacht-Audorf",4460,"24790","B"
"SWH",10,1058,1058047,,"Elsdorf-Westermühlen",1690,"24800","B"
"SWH",10,1059,1059024,,"Erfde",2068,"24803","B"
"SWH",10,1058,1058070,,"Hamdorf",1326,"24805","B"
"SWH",10,1058,1058086,,"Jevenstedt",3334,"24808","B"
"SWH",10,1058,1058127,,"Owschlag",3553,"24811","B"
"SWH",10,1059,1059075,,"Schleswig, Stadt",24466,"24837","B"
"SWH",10,1059,1059053,,"Kropp",6352,"24848","B"
"SWH",10,1059,1059107,,"Eggebek",2566,"24852","B"
"SWH",10,1059,1059044,,"Jübek",2419,"24855","B"
"SWH",10,1059,1059016,,"Brodersby",528,"24864","B"
"SWH",10,1059,1059079,,"Silberstedt",2260,"24887","B"
"SWH",10,1059,1059081,,"Stolk",866,"24890","B"
"SWH",10,1001,1001000,,"Flensburg, Stadt",84704,"24937","B"
"SWH",10,1059,1059180,,"Jarplund-Weding",4333,"24941","B"
"SWH",10,1059,1059120,,"Harrislee",11416,"24955","B"
"SWH",10,1059,1059113,,"Glücksburg (Ostsee), Stadt",5990,"24960","B"
"SWH",10,1059,1059171,,"Tarp",5920,"24963","B"
"SWH",10,1059,1059161,,"Sörup",4171,"24966","B"
"SWH",10,1059,1059158,,"Schafflund",2287,"24980","B"
"SWH",10,1059,1059119,,"Handewitt",5872,"24983","B"
"SWH",10,1059,1059071,,"Satrup",3434,"24986","B"
"SWH",10,1059,1059150,,"Oeversee",1996,"24988","B"
"SWH",10,1056,1056015,"Hamburg","Elmshorn, Stadt",47985,"25335","B"
"SWH",10,1056,1056046,"Hamburg","Seeth-Ekholt",829,"25337","B"
"SWH",10,1061,1061029,,"Glückstadt, Stadt",12103,"25348","B"
"SWH",10,1056,1056002,"Hamburg","Barmstedt, Stadt",9433,"25355","B"
"SWH",10,1056,1056003,"Hamburg","Bevern",571,"25355","B"
"SWH",10,1056,1056035,"Hamburg","Lutzhorn",798,"25355","B"
"SWH",10,1061,1061044,,"Horst (Holstein)",5043,"25358","B"
"SWH",10,1061,1061055,,"Krempe, Stadt",2475,"25361","B"
"SWH",10,1056,1056030,"Hamburg","Klein Offenseth-Sparrieshoop",2544,"25365","B"
"SWH",10,1056,1056039,"Hamburg","Pinneberg, Stadt",39905,"25421","B"
"SWH",10,1056,1056036,"Hamburg","Moorrege",3998,"25436","B"
"SWH",10,1056,1056048,"Hamburg","Tornesch",12853,"25436","B"
"SWH",10,1056,1056049,"Hamburg","Uetersen, Stadt",18107,"25436","B"
"SWH",10,1056,1056041,"Hamburg","Quickborn, Stadt",20144,"25451","B"
"SWH",10,1056,1056043,"Hamburg","Rellingen",13693,"25462","B"
"SWH",10,1056,1056018,"Hamburg","Halstenbek",16034,"25469","B"
"SWH",10,1056,1056005,"Hamburg","Bönningstedt",4059,"25474","B"
"SWH",10,1056,1056021,"Hamburg","Hasloh",3436,"25474","B"
"SWH",10,1056,1056026,"Hamburg","Hemdingen",1603,"25485","B"
"SWH",10,1056,1056032,"Hamburg","Kummerfeld",1960,"25495","B"
"SWH",10,1056,1056040,"Hamburg","Prisdorf",2117,"25497","B"
"SWH",10,1061,1061046,,"Itzehoe, Stadt",33429,"25524","B"
"SWH",10,1051,1051011,,"Brunsbüttel, Stadt",13900,"25541","B"
"SWH",10,1061,1061049,,"Kellinghusen, Stadt",7978,"25548","B"
"SWH",10,1061,1061042,,"Hohenlockstedt",6321,"25551","B"
"SWH",10,1061,1061113,,"Wilster, Stadt",4435,"25554","B"
"SWH",10,1058,1058061,,"Gokels",604,"25557","B"
"SWH",10,1058,1058072,,"Hanerau-Hademarschen",3133,"25557","B"
"SWH",10,1061,1061097,,"Schenefeld",2530,"25560","B"
"SWH",10,1061,1061116,,"Wrist",2479,"25563","B"
"SWH",10,1061,1061061,,"Lägerdorf",2812,"25566","B"
"SWH",10,1061,1061073,,"Neuenbrook",691,"25578","B"
"SWH",10,1051,1051097,,"Sankt Michaelisdonn",3796,"25693","B"
"SWH",10,1051,1051027,,"Elpersbüttel",873,"25704","B"
"SWH",10,1051,1051074,,"Meldorf, Stadt",7721,"25704","B"
"SWH",10,1051,1051072,,"Marne, Stadt",6095,"25709","B"
"SWH",10,1051,1051016,,"Burg (Dithmarschen)",4402,"25712","B"
"SWH",10,1051,1051024,,"Eddelak",1423,"25715","B"
"SWH",10,1051,1051034,,"Friedrichskoog",2457,"25718","B"
"SWH",10,1051,1051044,,"Heide, Stadt",20445,"25746","B"
"SWH",10,1051,1051130,,"Wesseln",1323,"25746","B"
"SWH",10,1051,1051013,,"Büsum",4808,"25761","B"
"SWH",10,1051,1051127,,"Wesselburen, Stadt",3126,"25764","B"
"SWH",10,1051,1051001,,"Albersdorf",3632,"25767","B"
"SWH",10,1051,1051071,,"Lunden",1715,"25774","B"
"SWH",10,1051,1051049,,"Hennstedt",1844,"25779","B"
"SWH",10,1051,1051114,,"Tellingstedt",2567,"25782","B"
"SWH",10,1051,1051075,,"Neuenkirchen",1003,"25792","B"
"SWH",10,1051,1051088,,"Pahlen",1121,"25794","B"
"SWH",10,1051,1051122,,"Weddingstedt",2363,"25795","B"
"SWH",10,1054,1054056,,"Husum, Stadt",20885,"25813","B"
"SWH",10,1054,1054019,,"Bredstedt, Stadt",5068,"25821","B"
"SWH",10,1054,1054020,,"Breklum",2266,"25821","B"
"SWH",10,1054,1054138,,"Tönning, Stadt",5044,"25832","B"
"SWH",10,1054,1054035,,"Garding, Kirchspiel",296,"25836","B"
"SWH",10,1054,1054024,,"Drelsdorf",1235,"25853","B"
"SWH",10,1059,1059064,,"Norderstapel",859,"25868","B"
"SWH",10,1054,1054116,,"Schwabstedt",1341,"25876","B"
"SWH",10,1059,1059085,,"Süderstapel",1053,"25879","B"
"SWH",10,1054,1054088,,"Niebüll, Stadt",8463,"25899","B"
"SWH",10,1054,1054076,,"Leck",7662,"25917","B"
"SWH",10,1054,1054131,,"Süderlügum",2151,"25923","B"
"HH",20,2000,2000000,"Hamburg","Hamburg, Freie und Hansestadt",1728806,"20038","A"
"NSA",31,3151,3151033,,"Ummern",1560,"29369","B"
"NSA",31,3151,3151040,,"Wittingen, Stadt",12383,"29378","B"
"NSA",31,3151,3151007,,"Dedelstorf",1580,"29386","B"
"NSA",31,3151,3151011,,"Hankensbüttel",4565,"29386","B"
"NSA",31,3151,3151019,,"Obernholz",938,"29386","B"
"NSA",31,3151,3151038,,"Wesendorf",4891,"29392","B"
"NSA",31,3151,3151010,,"Groß Oesingen",1983,"29393","B"
"NSA",31,3151,3151026,,"Schönewörde",964,"29396","B"
"NSA",31,3151,3151036,,"Wahrenholz",3781,"29399","B"
"NSA",31,3157,3157006,,"Peine, Stadt",49583,"31224","A"
"NSA",31,3157,3157001,,"Edemissen",12580,"31234","A"
"NSA",31,3157,3157003,,"Ilsede",12312,"31241","A"
"NSA",31,3157,3157004,,"Lahstedt",10764,"31246","A"
"NSA",31,3157,3157002,,"Hohenhameln",9841,"31249","A"
"NSA",31,3152,3152016,,"Hann. Münden, Stadt",25567,"34346","B"
"NSA",31,3152,3152026,,"Staufenberg",8512,"34355","B"
"NSA",31,3152,3152012,,"Göttingen, Stadt",123698,"37083","B"
"NSA",31,3152,3152007,,"Duderstadt, Stadt",22976,"37115","B"
"NSA",31,3152,3152004,,"Bovenden, Flecken",13406,"37120","B"
"NSA",31,3152,3152021,,"Rosdorf",11709,"37124","B"
"NSA",31,3152,3152006,,"Dransfeld, Stadt",4267,"37127","B"
"NSA",31,3152,3152011,,"Gleichen",9591,"37130","B"
"NSA",31,3152,3152009,,"Friedland",10264,"37133","B"
"NSA",31,3152,3152027,,"Waake",1433,"37136","B"
"NSA",31,3152,3152001,,"Adelebsen, Flecken",7086,"37139","B"
"NSA",31,3155,3155011,,"Northeim, Stadt",31183,"37154","B"
"NSA",31,3155,3155012,,"Uslar, Stadt",16130,"37170","B"
"NSA",31,3155,3155010,,"Nörten-Hardenberg, Flecken",8614,"37176","B"
"NSA",31,3155,3155005,,"Hardegsen, Stadt",8606,"37181","B"
"NSA",31,3155,3155009,,"Moringen, Stadt",7596,"37186","B"
"NSA",31,3155,3155007,,"Katlenburg-Lindau",7512,"37191","B"
"NSA",31,3155,3155002,,"Bodenfelde, Flecken",3679,"37194","B"
"NSA",31,3156,3156008,,"Hattorf am Harz",4495,"37197","B"
"NSA",31,3156,3156009,,"Herzberg am Harz, Stadt",15113,"37412","B"
"NSA",31,3156,3156002,,"Bad Lauterberg im Harz, Stadt",12023,"37431","B"
"NSA",31,3152,3152010,,"Gieboldehausen, Flecken",4108,"37434","B"
"NSA",31,3156,3156003,,"Bad Sachsa, Stadt",8335,"37441","B"
"NSA",31,3153,3153010,,"Sankt Andreasberg, Bergstadt",2194,"37444","B"
"NSA",31,3156,3156012,,"Walkenried",2499,"37445","B"
"NSA",31,3156,3156013,,"Wieda",1558,"37447","B"
"NSA",31,3156,3156011,,"Osterode am Harz, Stadt",25300,"37520","B"
"NSA",31,3156,3156004,,"Badenhausen",2049,"37534","B"
"NSA",31,3156,3156007,,"Gittelde, Flecken",2093,"37534","B"
"NSA",31,3156,3156001,,"Bad Grund (Harz), Bergstadt",2622,"37539","B"
"NSA",31,3156,3156014,,"Windhausen",1101,"37539","B"
"NSA",31,3155,3155008,,"Kreiensen",7613,"37547","B"
"NSA",31,3155,3155004,,"Einbeck, Stadt",28459,"37574","B"
"NSA",31,3155,3155001,,"Bad Gandersheim, Stadt",11154,"37581","B"
"NSA",31,3155,3155003,,"Dassel, Stadt",11409,"37586","B"
"NSA",31,3155,3155006,,"Kalefeld",7390,"37589","B"
"NSA",31,3101,3101000,,"Braunschweig, Stadt",245392,"38100","A"
"NSA",31,3154,3154013,,"Königslutter am Elm, Stadt",16582,"38154","B"
"NSA",31,3157,3157007,,"Vechelde",16178,"38159","A"
"NSA",31,3158,3158006,,"Cremlingen",12630,"38162","B"
"NSA",31,3154,3154014,,"Lehre",11600,"38165","B"
"NSA",31,3158,3158027,,"Schöppenstedt, Stadt",6031,"38170","B"
"NSA",31,3158,3158030,,"Sickte",5750,"38173","B"
"NSA",31,3157,3157008,,"Wendeburg",9745,"38176","A"
"NSA",31,3151,3151027,,"Schwülper",6549,"38179","B"
"NSA",31,3102,3102000,,"Salzgitter, Stadt",110817,"38226","B"
"NSA",31,3157,3157005,,"Lengede",12831,"38268","A"
"NSA",31,3158,3158002,,"Baddeckenstedt",3042,"38271","B"
"NSA",31,3158,3158037,,"Wolfenbüttel, Stadt",54643,"38300","B"
"NSA",31,3158,3158020,,"Hornburg, Stadt",2750,"38315","B"
"NSA",31,3158,3158026,,"Schladen",5355,"38315","B"
"NSA",31,3158,3158024,,"Remlingen",2063,"38319","B"
"NSA",31,3158,3158008,,"Denkte",3120,"38321","B"
"NSA",31,3158,3158029,,"Semmenstedt",639,"38327","B"
"NSA",31,3154,3154010,,"Helmstedt, Stadt",25820,"38350","B"
"NSA",31,3154,3154019,,"Schöningen, Stadt",13570,"38364","B"
"NSA",31,3154,3154021,,"Süpplingen",1920,"38373","B"
"NSA",31,3103,3103000,,"Wolfsburg, Stadt",122331,"38440","B"
"NSA",31,3154,3154024,,"Velpke",4539,"38458","B"
"NSA",31,3151,3151005,,"Brome, Flecken",3278,"38465","B"
"NSA",31,3151,3151024,,"Rühen",4415,"38471","B"
"NSA",31,3151,3151032,,"Tülau",1456,"38474","B"
"NSA",31,3151,3151030,,"Tappenbeck",1209,"38479","B"
"NSA",31,3151,3151009,,"Gifhorn, Stadt",42689,"38518","B"
"NSA",31,3151,3151025,,"Sassenburg",10780,"38524","B"
"NSA",31,3151,3151016,,"Meine",7986,"38527","B"
"NSA",31,3151,3151001,,"Adenbüttel",1695,"38528","B"
"NSA",31,3151,3151041,,"Didderse",1332,"38530","B"
"NSA",31,3151,3151023,,"Rötgesbüttel",2164,"38531","B"
"NSA",31,3151,3151017,,"Meinersen",8435,"38536","B"
"NSA",31,3151,3151018,,"Müden (Aller)",5596,"38539","B"
"NSA",31,3151,3151015,,"Leiferde",4192,"38542","B"
"NSA",31,3151,3151012,,"Hillerse",2525,"38543","B"
"NSA",31,3151,3151006,,"Calberlah",5167,"38547","B"
"NSA",31,3151,3151013,,"Isenbüttel",6254,"38550","B"
"NSA",31,3151,3151022,,"Ribbesbüttel",2120,"38551","B"
"NSA",31,3151,3151004,,"Bokensdorf",906,"38556","B"
"NSA",31,3151,3151035,,"Wagenhoff",1148,"38559","B"
"NSA",31,3153,3153005,,"Goslar, Stadt",43896,"38640","B"
"NSA",31,3153,3153002,,"Bad Harzburg, Stadt",22896,"38667","B"
"NSA",31,3153,3153004,,"Clausthal-Zellerfeld, Bergstadt",15329,"38678","B"
"NSA",31,3153,3153007,,"Langelsheim, Stadt",13366,"38685","B"
"NSA",31,3153,3153013,,"Vienenburg, Stadt",11521,"38690","B"
"NSA",31,3153,3153003,,"Braunlage, Stadt",5348,"38700","B"
"NSA",31,3153,3153008,,"Liebenburg",9673,"38704","B"
"NSA",31,3153,3153001,,"Altenau, Bergstadt",2076,"38707","B"
"NSA",31,3153,3153015,,"Wildemann, Bergstadt",1180,"38709","B"
"NSA",31,3153,3153012,,"Seesen, Stadt",22265,"38723","B"
"NSA",32,3251,3251007,,"Bassum, Stadt",16155,"27211","B"
"NSA",32,3251,3251040,,"Sulingen, Stadt",12742,"27232","B"
"NSA",32,3251,3251042,,"Twistringen, Stadt",12518,"27239","B"
"NSA",32,3251,3251003,,"Bahrenborstel",1247,"27245","B"
"NSA",32,3251,3251021,,"Kirchdorf",2045,"27245","B"
"NSA",32,3251,3251008,,"Borstel",1387,"27246","B"
"NSA",32,3251,3251015,,"Ehrenburg",1716,"27248","B"
"NSA",32,3251,3251024,,"Maasen",546,"27249","B"
"NSA",32,3251,3251032,,"Schwaförden",1515,"27252","B"
"NSA",32,3251,3251034,,"Siedenburg, Flecken",1309,"27254","B"
"NSA",32,3251,3251001,,"Affinghausen",955,"27257","B"
"NSA",32,3251,3251038,,"Sudwalde",1100,"27257","B"
"NSA",32,3251,3251010,,"Bruchhausen-Vilsen, Flecken",6138,"27305","B"
"NSA",32,3251,3251016,,"Engeln",1144,"27305","B"
"NSA",32,3251,3251039,,"Süstedt",1594,"27305","B"
"NSA",32,3256,3256013,,"Hilgermissen",2247,"27318","A"
"NSA",32,3256,3256014,,"Hoya, Stadt",3883,"27318","A"
"NSA",32,3256,3256007,,"Eystrup",3336,"27324","A"
"NSA",32,3256,3256008,,"Gandesbergen",480,"27324","A"
"NSA",32,3256,3256009,,"Hämelhausen",592,"27324","A"
"NSA",32,3256,3256010,,"Hassel (Weser)",1873,"27324","A"
"NSA",32,3251,3251026,,"Martfeld",2847,"27327","B"
"NSA",32,3251,3251033,,"Schwarme",2425,"27327","B"
"NSA",32,3251,3251002,,"Asendorf",3084,"27330","B"
"NSA",32,3256,3256003,,"Bücken, Flecken",2287,"27333","A"
"NSA",32,3256,3256035,,"Warpe",779,"27333","A"
"NSA",32,3251,3251037,,"Stuhr",31933,"28816","B"
"NSA",32,3251,3251047,,"Weyhe",30294,"28844","B"
"NSA",32,3251,3251041,,"Syke, Stadt",23786,"28857","B"
"NSA",32,3241,3241001,"Hannover","Hannover, Landeshauptstadt",517310,"30159","A"
"NSA",32,3241,3241005,"Hannover","Garbsen, Stadt",63278,"30827","A"
"NSA",32,3241,3241010,"Hannover","Langenhagen, Stadt",49652,"30853","A"
"NSA",32,3241,3241009,"Hannover","Laatzen, Stadt",39405,"30880","A"
"NSA",32,3241,3241002,"Hannover","Barsinghausen, Stadt",34370,"30890","A"
"NSA",32,3241,3241019,"Hannover","Wedemark",28798,"30900","A"
"NSA",32,3241,3241008,"Hannover","Isernhagen",22478,"30916","A"
"NSA",32,3241,3241015,"Hannover","Seelze, Stadt",33167,"30926","A"
"NSA",32,3241,3241004,"Hannover","Burgwedel, Stadt",20113,"30938","A"
"NSA",32,3241,3241014,"Hannover","Ronnenberg, Stadt",23284,"30952","A"
"NSA",32,3241,3241007,"Hannover","Hemmingen, Stadt",18447,"30966","A"
"NSA",32,3241,3241020,"Hannover","Wennigsen (Deister)",13993,"30974","A"
"NSA",32,3241,3241013,"Hannover","Pattensen, Stadt",13435,"30982","A"
"NSA",32,3241,3241006,"Hannover","Gehrden, Stadt",14836,"30989","A"
"NSA",32,3254,3254014,,"Elze, Stadt",9677,"31008","A"
"NSA",32,3252,3252008,,"Salzhemmendorf, Flecken",10755,"31020","A"
"NSA",32,3254,3254018,,"Gronau (Leine), Stadt",5487,"31028","A"
"NSA",32,3254,3254013,,"Eime, Flecken",2904,"31036","A"
"NSA",32,3254,3254002,,"Alfeld (Leine), Stadt",21600,"31061","A"
"NSA",32,3255,3255008,,"Delligsen, Flecken",9101,"31073","A"
"NSA",32,3254,3254016,,"Freden (Leine)",3564,"31084","A"
"NSA",32,3254,3254037,,"Duingen, Flecken",3044,"31089","A"
"NSA",32,3254,3254021,,"Hildesheim, Stadt",103448,"31134","B"
"NSA",32,3254,3254028,,"Sarstedt, Stadt",18237,"31157","A"
"NSA",32,3254,3254005,,"Bad Salzdetfurth, Stadt",14527,"31162","A"
"NSA",32,3254,3254008,,"Bockenem, Stadt",11349,"31167","A"
"NSA",32,3254,3254026,,"Nordstemmen",13266,"31171","A"
"NSA",32,3254,3254029,,"Schellerten",8701,"31174","A"
"NSA",32,3254,3254020,,"Harsum",12143,"31177","A"
"NSA",32,3254,3254017,,"Giesen",9974,"31180","A"
"NSA",32,3254,3254032,,"Söhlde",8438,"31185","A"
"NSA",32,3254,3254022,,"Holle",7227,"31188","A"
"NSA",32,3254,3254003,,"Algermissen",8297,"31191","A"
"NSA",32,3254,3254023,,"Lamspringe, Flecken",3333,"31195","A"
"NSA",32,3241,3241011,"Hannover","Lehrte, Stadt",44285,"31275","A"
"NSA",32,3241,3241003,"Hannover","Burgdorf, Stadt",30225,"31303","A"
"NSA",32,3241,3241018,"Hannover","Uetze",20060,"31311","A"
"NSA",32,3241,3241016,"Hannover","Sehnde, Stadt",21543,"31319","A"
"NSA",32,3241,3241021,"Hannover","Wunstorf, Stadt",41737,"31515","A"
"NSA",32,3241,3241012,"Hannover","Neustadt am Rübenberge, Stadt",45423,"31535","A"
"NSA",32,3257,3257006,,"Bad Nenndorf, Stadt",10219,"31542","A"
"NSA",32,3256,3256025,,"Rehburg-Loccum, Stadt",11054,"31547","A"
"NSA",32,3257,3257032,,"Rodenberg, Stadt",6260,"31552","A"
"NSA",32,3257,3257033,,"Sachsenhagen, Stadt",2128,"31553","A"
"NSA",32,3257,3257010,,"Hagenburg, Flecken",4601,"31558","A"
"NSA",32,3257,3257011,,"Haste",2581,"31559","A"
"NSA",32,3256,3256022,,"Nienburg (Weser), Stadt",32462,"31582","A"
"NSA",32,3256,3256032,,"Stolzenau",7588,"31592","A"
"NSA",32,3256,3256033,,"Uchte, Flecken",4997,"31600","A"
"NSA",32,3256,3256004,,"Diepenau, Flecken",4056,"31603","A"
"NSA",32,3256,3256021,,"Marklohe",4510,"31608","A"
"NSA",32,3256,3256011,,"Haßbergen",1581,"31626","A"
"NSA",32,3256,3256027,,"Rohrsen",1074,"31627","A"
"NSA",32,3256,3256017,,"Landesbergen",2916,"31628","A"
"NSA",32,3256,3256029,,"Steimbke",2515,"31634","A"
"NSA",32,3256,3256026,,"Rodewald",2733,"31637","A"
"NSA",32,3257,3257035,,"Stadthagen, Stadt",23655,"31655","A"
"NSA",32,3257,3257009,,"Bückeburg, Stadt",20882,"31675","A"
"NSA",32,3257,3257028,,"Obernkirchen, Stadt",10201,"31683","A"
"NSA",32,3257,3257020,,"Lindhorst",4709,"31698","A"
"NSA",32,3257,3257005,,"Bad Eilsen",2408,"31707","A"
"NSA",32,3257,3257031,,"Rinteln, Stadt",28253,"31737","A"
"NSA",32,3257,3257003,,"Auetal",6549,"31749","A"
